"cell_frequency_band","ci","sector"
"1800","10","1"
"1800","11","2"
"1800","12","3"
"1800","110","1"
"1800","111","2"
"1800","112","3"
"1800","201","1"
"1800","202","2"
"1800","203","3"
"2100","30","1"
"2100","31","2"
"2100","32","3"
"2100","130","1"
"2100","131","2"
"2100","132","3"
"2600","0","1"
"2600","1","2"
"2600","2","3"
"2600","100","1"
"2600","101","2"
"2600","102","3"
"2600","204","1"
"2600","205","2"
"2600","206","3"
"800","20","1"
"800","21","2"
"800","22","3"
"800","120","1"
"800","121","2"
"800","122","3"
"800","207","1"
"800","208","2"
"800","209","3"
